Volumen (X);Costos (Y);Predic (Y);XY;X^2
26;22;19,0914;572;676
26;20;19,0914;520;676
26;15;19,0914;390;676
27;21;20,4248;567;729
27;18;20,4248;486;729
27;16;20,4248;432;729
28;23;21,7582;644;784
28;19;21,7582;532;784
29;25;23,0916;725;841
29;14;23,0916;406;841
30;24;24,425;720;900
30;26;24,425;780;900
30;20;24,425;600;900
31;25;25,7584;775;961
31;21;25,7584;651;961
31;30;25,7584;930;961
31;15;25,7584;465;961
32;26;27,0918;832;1024
32;22;27,0918;704;1024
33;28;28,4252;924;1089
34;30;29,7586;1020;1156
35;25;31,092;875;1225
35;14;31,092;490;1225
36;31;32,4254;1116;1296
37;30;33,7588;1110;1369
38;28;35,0922;1064;1444
39;33;36,4256;1287;1521
40;35;37,759;1400;1600
41;42;39,0924;1722;1681
41;38;39,0924;1558;1681
42;40;40,4258;1680;1764
42;44;40,4258;1848;1764
43;39;41,7592;1677;1849
43;45;41,7592;1935;1849
44;42;43,0926;1848;1936
44;38;43,0926;1672;1936
45;43;44,426;1935;2025
45;44;44,426;1980;2025
46;41;45,7594;1886;2116
46;53;45,7594;2438;2116
46;45;45,7594;2070;2116
47;43;47,0928;2021;2209
47;52;47,0928;2444;2209
48;47;48,4262;2256;2304
48;50;48,4262;2400;2304
49;48;49,7596;2352;2401
50;55;51,093;2750;2500
50;45;51,093;2250;2500
51;50;52,4264;2550;2601
51;48;52,4264;2448;2601
52;53;53,7598;2756;2704
52;60;53,7598;3120;2704
53;55;55,0932;2915;2809
53;47;55,0932;2491;2809
54;50;56,4266;2700;2916
55;55;57,76;3025;3025
55;47;57,76;2585;3025
56;55;59,0934;3080;3136
58;;61,7602;0;3364
